,PAI_id,booking_id,str_id,geom_id,ufi,name,location,local_address,street_address,star_rating,review_score,review_score_text,review_count,amount_per_stay,mean_adr_sar,median_adr_sar,revpar,occupancy_rate,number_of_keys,opened_at,str_class,recently_opened,link,parent_chain,returning_aid_share,mall_visitations_pct,business_park_visitations_pct,footfall_score,footfall_score_domestic,footfall_score_international,ranking,ranking_domestic,ranking_international,volatility,quadrant,distance,has_gym,has_wellness_centre,has_event_halls,has_business_centre,has_restaurant,has_pool
112,122,6492808.0,-1,6492808,900040280.0,Braira Al Yarmouk,Riyadh,"Imam Abdullah Ibn Saud Ibn Abdulaziz Rd Imam Abdullah Ibn Saud Ibn Abdulaziz Rd, Al Yarmuk, Riyadh 13243 6500","Imam Abdullah Ibn Saud Ibn Abdulaziz Rd Imam Abdullah Ibn Saud Ibn Abdulaziz Rd, Al Yarmuk, Riyadh 13243 6500, 13243 Riyadh, Saudi Arabia",4.0,8.6,Fabulous,3816,1869.38,741.9427575757577,687.4688,401.07,54.05692423426007,84.0,2013,,,https://www.booking.com/hotel/sa/braira-al-yarmuk.en-gb.html,Boudl Hotels and Resorts,0.254314259763851,0.3034420289855073,0.02445652173913043,0.091640040728907,0.09392499575767861,0.06647641430250126,124,116,157,27.69149870165759,High ADR & Low Occupancy,7501.383,1,1,1,0,1,1
116,127,9443807.0,11677209,9443807,900040280.0,Radisson Blu Hotel Riyadh Convention and Exhibition Center,Riyadh,King Abdullah Bin Abdulaziz Road,"King Abdullah Bin Abdulaziz Road, Riyadh, Saudi Arabia",5.0,8.8,Fabulous,1522,2252.25,1614.638514704343,1320.9952,619.2,38.34911054584932,223.0,2023,Upper Upscale,,https://www.booking.com/hotel/sa/radisson-blu-riyadh-convention-and-exhibition-center.en-gb.html,Radisson Hotel Group,0.1985981308411215,0.3706293706293706,0.0675990675990676,0.03170534742459886,0.03419311047004921,0.01628336410945106,332,317,397,43.51744781976639,High ADR & Low Occupancy,4984.729999999999,0,1,1,1,1,1
117,128,74591.0,12017751,74591,900040280.0,Riyadh Marriott Hotel,Riyadh,"King Saud Road, Al Wazarat District","King Saud Road, Al Wazarat District, 11464 Riyadh, Saudi Arabia",5.0,7.5,Good,1026,1975.34,739.1478755555559,673.6528,504.86,68.3033114608428,418.0,2012,Upper Upscale,,https://www.booking.com/hotel/sa/riyadh-marriott.en-gb.html,Marriott International,0.2054722441462773,0.2662371811727584,0.03812779384696293,0.6280327235700993,0.5708043441371119,0.7439986570421353,6,6,6,17.61299141568205,High ADR & High Occupancy,3625.566,1,1,1,1,1,1
118,129,381958.0,11730977,381958,900040280.0,"Marriott Executive Apartments Riyadh, Convention Center",Riyadh,"King Saud Road, Al Wazarat District","King Saud Road, Al Wazarat District, 11464 Riyadh, Saudi Arabia",5.0,8.7,Fabulous,653,1890.62,864.3535393939396,912.3488,712.18,82.3948699195748,118.0,2012,Upper Upscale,,https://www.booking.com/hotel/sa/marriott-executive-apartments-riyadh.en-gb.html,Marriott International,0.1657258064516129,0.37726723095526,0.05199516324062878,0.3263930339524596,0.3204649584252503,0.2924290750377707,19,20,20,18.07515693304765,High ADR & High Occupancy,4287.308,1,1,1,1,1,1
119,130,2969313.0,11757034,2969313,900040280.0,Braira Qurtubah,Riyadh,Qortoba Al Rashed Street,"Qortoba Al Rashed Street, 11351 Riyadh, Saudi Arabia",4.0,8.1,Very good,8191,1696.44,721.1710857142858,669.5056,507.16,70.32436565218292,170.0,2016,Upper Upscale,,https://www.booking.com/hotel/sa/fndq-bryr-qrtb.en-gb.html,Boudl Hotels and Resorts,0.224964234620887,0.2806704707560628,0.03958630527817403,0.2710227871212387,0.265951128457492,0.2434111129763304,28,28,29,13.5703325496898,High ADR & High Occupancy,5558.766,1,1,1,1,1,1
122,133,9328904.0,11648524,9328904,900040280.0,"Holiday Inn Riyadh The Business District, an IHG Hotel",Riyadh,King Khaled International Airport Road,"King Khaled International Airport Road, null Riyadh, Saudi Arabia",5.0,8.7,Fabulous,806,1761.41,852.822328888889,763.2,318.41,37.33611802891553,138.0,2023,Upper Midscale,,https://www.booking.com/hotel/sa/holiday-inn-business-district.en-gb.html,IHG Hotels & Resorts,0.3076923076923077,0.2264150943396227,0.09433962264150944,0.01327200589866929,0.0141693534702189,0.007386268255833473,430,427,430,45.944577569571,High ADR & Low Occupancy,343.627,1,1,1,1,1,1
123,134,7856948.0,17603709,7856948,900040280.0,Sarwat Park Hotel Riyadh - Diplomatic Quarter,Riyadh,Diplomatic Quarter,"Diplomatic Quarter, 61411 Riyadh, Saudi Arabia",4.0,8.0,Very good,919,1529.49,916.3335979068552,681.6832,432.28,47.17470555978689,56.0,2021,Luxury,,https://www.booking.com/hotel/sa/fndq-srwt-brk-lryd.en-gb.html,,0.1530815109343936,0.4345238095238096,0.07936507936507936,0.03040623573610477,0.03236891226879349,0.01729058250797381,342,328,387,26.36532063159834,High ADR & Low Occupancy,9955.206999999997,1,1,1,1,1,1
124,135,386315.0,11732807,386315,900040280.0,Boudl Al Woroud,Riyadh,"Infront of Carfour, Damam Road","Infront of Carfour, Damam Road, 99999* Riyadh, Saudi Arabia",4.0,8.0,Very good,406,1139.62,481.2965212121213,449.552,261.58,54.34994058590358,47.0,2012,Upscale,,https://www.booking.com/hotel/sa/boudl-al-woroud.en-gb.html,Boudl Hotels and Resorts,0.2727272727272727,0.213953488372093,0.02790697674418605,0.0408342403707735,0.03614457831325302,0.05220748699009568,284,312,202,30.90259263591582,Low ADR & Low Occupancy,2298.338000000001,1,1,0,0,0,1
127,139,548147.0,12019145,548147,900040280.0,"Holiday Inn Meydan, an IHG Hotel","Al Olaya, Riyadh",Olya Street,"Olya Street, Al Olaya, 31311 Riyadh, Saudi Arabia",4.0,7.5,Good,999,1709.43,683.1445777777778,575.184,335.61,49.12722149502289,290.0,2013,Upper Midscale,,https://www.booking.com/hotel/sa/holiday-inn-meydan.en-gb.html,IHG Hotels & Resorts,0.1796206768315359,0.3434944237918216,0.06951672862453531,0.1831747480776658,0.1780078058713728,0.171394997481954,52,52,48,20.12681797169632,Low ADR & Low Occupancy,82.395,1,1,1,1,1,1
128,140,4574309.0,11623526,4574309,900040280.0,Cristal Amaken Hotel Riyadh,Riyadh,"Industrial City 2 (New industrial City), Riyadh 9369","Industrial City 2 (New industrial City), Riyadh 9369, 14334 Riyadh, Saudi Arabia",4.0,8.4,Very good,1056,1255.58,550.0619885714287,498.112,228.06,41.46131316429491,268.0,2019,Upscale,,https://www.booking.com/hotel/sa/industrial-city-2-new-industrial-city-riyadh.en-gb.html,Cristal Hotels & Resort,0.1621073961499493,0.1740890688259109,0.01214574898785425,0.07598047821354588,0.07402850839979637,0.07033741816350511,159,153,152,16.91033008694508,Low ADR & Low Occupancy,27550.65699999997,1,1,1,1,1,1
